DATE,T10Y2Y
2002-07-01,2.0335937500000000
2002-10-01,2.1151612903225806
2003-01-01,2.2709836065573770
2003-04-01,2.1990476190476190
2003-07-01,2.5493750000000000
2003-10-01,2.4288709677419355
2004-01-01,2.3233870967741935
2004-04-01,2.1424193548387097
2004-07-01,1.7448437500000000
2004-10-01,1.3533870967741935
2005-01-01,0.84868852459016393443
2005-04-01,0.51265625000000000000
2005-07-01,0.25718750000000000000
2005-10-01,0.12360655737704918033
2006-01-01,-0.02758064516129032258
2006-04-01,0.07476190476190476190
2006-07-01,-0.03555555555555555556
2006-10-01,-0.10693548387096774194
2007-01-01,-0.08145161290322580645
2007-04-01,0.04234375000000000000
2007-07-01,0.34761904761904761905
2007-10-01,0.77693548387096774194
2008-01-01,1.6359016393442623
2008-04-01,1.4651562500000000
2008-07-01,1.5021875000000000
2008-10-01,2.0191935483870968
2009-01-01,1.8319672131147541
2009-04-01,2.3031746031746032
2009-07-01,2.4878125000000000
2009-10-01,2.5861290322580645
2010-01-01,2.8001639344262295
2010-04-01,2.6193750000000000
2010-07-01,2.2457812500000000
2010-10-01,2.3912903225806452
2011-01-01,2.7637096774193548
2011-04-01,2.6398412698412698
2011-07-01,2.1350000000000000
2011-10-01,1.7831147540983607
2012-01-01,1.7504838709677419
2012-04-01,1.5362500000000000
2012-07-01,1.3834920634920635
2012-10-01,1.4395081967213115
2013-01-01,1.6881666666666667
2013-04-01,1.7160937500000000
2013-07-01,2.3406250000000000
2013-10-01,2.4169354838709677
2014-01-01,2.3906557377049180
2014-04-01,2.2014285714285714
2014-07-01,1.9845312500000000
2014-10-01,1.7393548387096774
2015-01-01,1.3642622950819672
2015-04-01,1.5517187500000000
2015-07-01,1.5306250000000000
2015-10-01,1.3522580645161290
2016-01-01,1.0780327868852459
2016-04-01,0.97890625000000000000
2016-07-01,0.83625000000000000000
2016-10-01,1.1291803278688525
2017-01-01,1.2022580645161290
2017-04-01,0.96333333333333333333
2017-07-01,0.87873015873015873016
2017-10-01,0.67709677419354838710
2018-01-01,0.59803278688524590164
2018-04-01,0.44359375000000000000
2018-07-01,0.25793650793650793651
2018-10-01,0.23836065573770491803
2019-01-01,0.16786885245901639344
2019-04-01,0.21095238095238095238
2019-07-01,0.11203125000000000000
2019-10-01,0.20080645161290322581
2020-01-01,0.28354838709677419355
2020-04-01,0.49396825396825396825
2020-07-01,0.50968750000000000000
2020-10-01,0.71483870967741935484
2021-01-01,1.2037704918032787
2021-04-01,1.4165625000000000
2021-07-01,1.0990625000000000
2021-10-01,1.00161290322580645161
2022-01-01,0.48661290322580645161
2022-04-01,0.21209677419354838710
2022-07-01,-0.28109375000000000000
