DATE,UMCSENT
2002-07-01,87.2666666666666667
2002-10-01,83.8333333333333333
2003-01-01,79.9666666666666667
2003-04-01,89.2666666666666667
2003-07-01,89.3000000000000000
2003-10-01,91.9666666666666667
2004-01-01,98.0000000000000000
2004-04-01,93.3333333333333333
2004-07-01,95.6000000000000000
2004-10-01,93.8666666666666667
2005-01-01,94.0666666666666667
2005-04-01,90.2000000000000000
2005-07-01,87.5000000000000000
2005-10-01,82.4333333333333333
2006-01-01,88.9333333333333333
2006-04-01,83.8000000000000000
2006-07-01,84.0333333333333333
2006-10-01,92.4666666666666667
2007-01-01,92.2000000000000000
2007-04-01,86.9000000000000000
2007-07-01,85.7333333333333333
2007-10-01,77.5000000000000000
2008-01-01,72.9000000000000000
2008-04-01,59.6000000000000000
2008-07-01,64.8333333333333333
2008-10-01,57.6666666666666667
2009-01-01,58.2666666666666667
2009-04-01,68.2000000000000000
2009-07-01,68.4000000000000000
2009-10-01,70.1666666666666667
2010-01-01,73.8666666666666667
2010-04-01,73.9333333333333333
2010-07-01,68.3000000000000000
2010-10-01,71.2666666666666667
2011-01-01,73.0666666666666667
2011-04-01,71.8666666666666667
2011-07-01,59.6666666666666667
2011-10-01,64.8000000000000000
2012-01-01,75.5000000000000000
2012-04-01,76.3000000000000000
2012-07-01,74.9666666666666667
2012-10-01,79.4000000000000000
2013-01-01,76.6666666666666667
2013-04-01,81.6666666666666667
2013-07-01,81.5666666666666667
2013-10-01,76.9333333333333333
2014-01-01,80.9333333333333333
2014-04-01,82.8333333333333333
2014-07-01,82.9666666666666667
2014-10-01,89.7666666666666667
2015-01-01,95.5000000000000000
2015-04-01,94.2333333333333333
2015-07-01,90.7333333333333333
2015-10-01,91.3000000000000000
2016-01-01,91.5666666666666667
2016-04-01,92.4000000000000000
2016-07-01,90.3333333333333333
2016-10-01,93.0666666666666667
2017-01-01,97.2333333333333333
2017-04-01,96.3666666666666667
2017-07-01,95.1000000000000000
2017-10-01,98.3666666666666667
2018-01-01,98.9333333333333333
2018-04-01,98.3333333333333333
2018-07-01,98.0666666666666667
2018-10-01,98.1333333333333333
2019-01-01,94.4666666666666667
2019-04-01,98.4666666666666667
2019-07-01,93.8000000000000000
2019-10-01,97.2000000000000000
2020-01-01,96.6333333333333333
2020-04-01,74.0666666666666667
2020-07-01,75.6666666666666667
2020-10-01,79.8000000000000000
2021-01-01,80.2333333333333333
2021-04-01,85.5666666666666667
2021-07-01,74.7666666666666667
2021-10-01,69.9000000000000000
2022-01-01,63.1333333333333333
2022-04-01,57.8666666666666667
2022-07-01,56.1000000000000000
