pce_pc1,datem
2.1214199,2010m1
2.73703,2010m2
3.9168301,2010m3
4.1933999,2010m4
4.28122,2010m5
3.8457601,2010m6
3.8619101,2010m7
3.02876,2010m8
4.0220399,2010m9
4.1065698,2010m10
4.4854102,2010m11
4.1621099,2010m12
4.5564399,2011m1
4.4306202,2011m2
4.5657701,2011m3
4.6138902,2011m4
4.5187402,2011m5
4.53022,2011m6
4.5139799,2011m7
4.2999501,2011m8
4.4165401,2011m9
4.0100498,2011m10
3.57691,2011m11
3.312,2011m12
3.6379001,2012m1
4.2369499,2012m2
3.5236399,2012m3
3.4396999,2012m4
3.1352501,2012m5
2.7583499,2012m6
2.6575699,2012m7
2.8436401,2012m8
2.9870501,2012m9
3.09639,2012m10
3.43858,2012m11
3.3592801,2012m12
3.20278,2013m1
2.6840301,2013m2
2.50139,2013m3
2.18542,2013m4
2.6192901,2013m5
2.9909599,2013m6
2.99543,2013m7
2.9024999,2013m8
2.7788501,2013m9
2.9432399,2013m10
3.15698,2013m11
3.3753099,2013m12
2.6489899,2014m1
2.9542401,2014m2
3.78298,2014m3
4.2462702,2014m4
4.2806201,2014m5
4.5898299,2014m6
4.69207,2014m7
5.1147499,2014m8
4.8274498,2014m9
4.9741802,2014m10
4.5710402,2014m11
4.4036498,2014m12
4.2690001,2015m1
4.0265498,2015m2
3.7365799,2015m3
3.68821,2015m4
3.8629401,2015m5
3.6517999,2015m6
3.7738199,2015m7
3.349,2015m8
3.2720699,2015m9
2.7153001,2015m10
2.81215,2015m11
3.0262899,2015m12
3.4528301,2016m1
3.6679299,2016m2
3.0876501,2016m3
3.4156899,2016m4
3.1944799,2016m5
3.51581,2016m6
3.1888101,2016m7
3.15956,2016m8
3.6450701,2016m9
3.76791,2016m10
3.6789701,2016m11
4.26372,2016m12
4.56389,2017m1
4.0897999,2017m2
4.6574702,2017m3
4.19593,2017m4
3.9067199,2017m5
3.68927,2017m6
3.7175901,2017m7
3.79849,2017m8
4.2680502,2017m9
4.3287802,2017m10
4.8717899,2017m11
4.98422,2017m12
4.6696,2018m1
4.8295102,2018m2
4.93609,2018m3
5.1700101,2018m4
5.6610999,2018m5
5.5420098,2018m6
5.7513199,2018m7
5.79563,2018m8
4.93957,2018m9
5.3282399,2018m10
5.0505199,2018m11
3.25299,2018m12
3.3870399,2019m1
3.2600999,2019m2
3.6285801,2019m3
3.48388,2019m4
3.3325601,2019m5
3.42729,2019m6
3.55497,2019m7
3.4704399,2019m8
3.55527,2019m9
3.2469101,2019m10
3.2004299,2019m11
4.5368199,2019m12
4.53371,2020m1
