country,lifeexpect,hcspending
Australia,82.5,4492.554
Austria,81.3,5100.015
Belgium,81.1,4778.452
Brazil,74.7,994.755
Canada,81.7,4532.836
Chile,79.1,1877.331
China,76,733.26
Colombia,74.2,964.184
Costa Rica,79.6,1389.877
Czech Rep.,78.7,2434.059
Denmark,80.8,5057.861
Estonia,77.7,1885.169
Finland,81.6,3993.189
France,82.4,4529.586
Germany,80.7,5352.626
Greece,81.1,2210.071
Hungary,75.7,1912.959
Iceland,82.5,4105.674
India,68.3,269.27
Indonesia,69.1,302.499
Ireland,81.5,5275.77
Israel,82.1,2712.958
Italy,82.6,3351.594
Japan,83.9,4435.64
Korea,82.1,2534.938
Latvia,74.6,1434.35
Lithuania,74.5,1883.284
Luxembourg,82.4,6817.898
Mexico,75,1054.484
Netherlands,81.6,5296.708
New Zealand,81.7,3544.562
Norway,82.4,6190.144
Poland,77.6,1703.634
Portugal,81.2,2663.699
Russian Fed.,71.3,1350.957
Slovak Rep.,76.7,2059.383
Slovenia,80.9,2730.8
South Africa,57.4,1148.873
Spain,83,3180.049
Sweden,82.3,5266.333
Switzerland,83,7535.588
Turkey,78,996.641
United Kingdom,81,4125.26
United States,78.8,9507.196
