"","make","price","mpg","headroom","weight","length","turn","displacement","gear_ratio"
"1","AMC Concord",4099,22,2.5,2930,186,40,121,3.57999992370605
"2","AMC Pacer",4749,17,3,3350,173,40,258,2.52999997138977
"3","AMC Spirit",3799,22,3,2640,168,35,121,3.07999992370605
"4","Buick Century",4816,20,4.5,3250,196,40,196,2.9300000667572
"5","Buick Electra",7827,15,4,4080,222,43,350,2.41000008583069
"6","Buick LeSabre",5788,18,4,3670,218,43,231,2.73000001907349
"7","Buick Opel",4453,26,3,2230,170,34,304,2.86999988555908
"8","Buick Regal",5189,20,2,3280,200,42,196,2.9300000667572
"9","Buick Riviera",10372,16,3.5,3880,207,43,231,2.9300000667572
"10","Buick Skylark",4082,19,3.5,3400,200,42,231,3.07999992370605
"11","Cad. Deville",11385,14,4,4330,221,44,425,2.27999997138977
"12","Cad. Eldorado",14500,14,3.5,3900,204,43,350,2.19000005722046
"13","Cad. Seville",15906,21,3,4290,204,45,350,2.24000000953674
"14","Chev. Chevette",3299,29,2.5,2110,163,34,231,2.9300000667572
"15","Chev. Impala",5705,16,4,3690,212,43,250,2.55999994277954
"16","Chev. Malibu",4504,22,3.5,3180,193,31,200,2.73000001907349
"17","Chev. Monte Carlo",5104,22,2,3220,200,41,200,2.73000001907349
"18","Chev. Monza",3667,24,2,2750,179,40,151,2.73000001907349
"19","Chev. Nova",3955,19,3.5,3430,197,43,250,2.55999994277954
"20","Dodge Colt",3984,30,2,2120,163,35,98,3.53999996185303
"21","Dodge Diplomat",4010,18,4,3600,206,46,318,2.47000002861023
"22","Dodge Magnum",5886,16,4,3600,206,46,318,2.47000002861023
"23","Dodge St. Regis",6342,17,4.5,3740,220,46,225,2.94000005722046
"24","Ford Fiesta",4389,28,1.5,1800,147,33,98,3.15000009536743
"25","Ford Mustang",4187,21,2,2650,179,43,140,3.07999992370605
"26","Linc. Continental",11497,12,3.5,4840,233,51,400,2.47000002861023
"27","Linc. Mark V",13594,12,2.5,4720,230,48,400,2.47000002861023
"28","Linc. Versailles",13466,14,3.5,3830,201,41,302,2.47000002861023
"29","Merc. Bobcat",3829,22,3,2580,169,39,140,2.73000001907349
"30","Merc. Cougar",5379,14,3.5,4060,221,48,302,2.75
"31","Merc. Marquis",6165,15,3.5,3720,212,44,302,2.25999999046326
"32","Merc. Monarch",4516,18,3,3370,198,41,250,2.4300000667572
"33","Merc. XR-7",6303,14,3,4130,217,45,302,2.75
"34","Merc. Zephyr",3291,20,3.5,2830,195,43,140,3.07999992370605
"35","Olds 98",8814,21,4,4060,220,43,350,2.41000008583069
"36","Olds Cutl Supr",5172,19,2,3310,198,42,231,2.9300000667572
"37","Olds Cutlass",4733,19,4.5,3300,198,42,231,2.9300000667572
"38","Olds Delta 88",4890,18,4,3690,218,42,231,2.73000001907349
"39","Olds Omega",4181,19,4.5,3370,200,43,231,3.07999992370605
"40","Olds Starfire",4195,24,2,2730,180,40,151,2.73000001907349
"41","Olds Toronado",10371,16,3.5,4030,206,43,350,2.41000008583069
"42","Plym. Arrow",4647,28,2,3260,170,37,156,3.04999995231628
"43","Plym. Champ",4425,34,2.5,1800,157,37,86,2.97000002861023
"44","Plym. Horizon",4482,25,4,2200,165,36,105,3.36999988555908
"45","Plym. Sapporo",6486,26,1.5,2520,182,38,119,3.53999996185303
"46","Plym. Volare",4060,18,5,3330,201,44,225,3.23000001907349
"47","Pont. Catalina",5798,18,4,3700,214,42,231,2.73000001907349
"48","Pont. Firebird",4934,18,1.5,3470,198,42,231,3.07999992370605
"49","Pont. Grand Prix",5222,19,2,3210,201,45,231,2.9300000667572
"50","Pont. Le Mans",4723,19,3.5,3200,199,40,231,2.9300000667572
"51","Pont. Phoenix",4424,19,3.5,3420,203,43,231,3.07999992370605
"52","Pont. Sunbird",4172,24,2,2690,179,41,151,2.73000001907349
"53","Audi 5000",9690,17,3,2830,189,37,131,3.20000004768372
"54","Audi Fox",6295,23,2.5,2070,174,36,97,3.70000004768372
"55","BMW 320i",9735,25,2.5,2650,177,34,121,3.64000010490417
"56","Datsun 200",6229,23,1.5,2370,170,35,119,3.89000010490417
"57","Datsun 210",4589,35,2,2020,165,32,85,3.70000004768372
"58","Datsun 510",5079,24,2.5,2280,170,34,119,3.53999996185303
"59","Datsun 810",8129,21,2.5,2750,184,38,146,3.54999995231628
"60","Fiat Strada",4296,21,2.5,2130,161,36,105,3.36999988555908
"61","Honda Accord",5799,25,3,2240,172,36,107,3.04999995231628
"62","Honda Civic",4499,28,2.5,1760,149,34,91,3.29999995231628
"63","Mazda GLC",3995,30,3.5,1980,154,33,86,3.73000001907349
"64","Peugeot 604",12990,14,3.5,3420,192,38,163,3.57999992370605
"65","Renault Le Car",3895,26,3,1830,142,34,79,3.72000002861023
"66","Subaru",3798,35,2.5,2050,164,36,97,3.80999994277954
"67","Toyota Celica",5899,18,2.5,2410,174,36,134,3.05999994277954
"68","Toyota Corolla",3748,31,3,2200,165,35,97,3.21000003814697
"69","Toyota Corona",5719,18,2,2670,175,36,134,3.04999995231628
"70","VW Dasher",7140,23,2.5,2160,172,36,97,3.74000000953674
"71","VW Diesel",5397,41,3,2040,155,35,90,3.77999997138977
"72","VW Rabbit",4697,25,3,1930,155,35,89,3.77999997138977
"73","VW Scirocco",6850,25,2,1990,156,36,97,3.77999997138977
"74","Volvo 260",11995,17,2.5,3170,193,37,163,2.98000001907349
