institution,state,enter_repay,borrowers_default,default_rate,long_default,default_value
University of California  Berkeley,CA,1365,22,1.61,708,1.60E+06
University of California  Davis,CA,2234,113,5.06,1035,2.90E+06
University of California  Hastings College of the Law,CA,328,22,6.71,128,947910
University of California  Irvine,CA,578,19,3.29,464,1.20E+06
University of California  Los Angeles,CA,2662,73,2.74,992,2.40E+06
University of California  Riverside,CA,893,46,5.15,528,893701
University of California  San Diego,CA,1118,60,5.37,951,2.10E+06
University of California  San Francisco,CA,261,2,0.77,19,190264
University of California  Santa Barbara,CA,855,58,6.78,928,2.60E+06
University of California  Santa Cruz,CA,1224,82,6.7,698,1.10E+06
University of Wisconsin - Eau Claire,WI,593,30,5.06,178,613707
University of Wisconsin - Green Bay,WI,238,4,1.68,146,289446
University of Wisconsin - LaCrosse,WI,208,15,7.21,133,363036
University of Wisconsin - Madison,WI,1781,14,0.79,909,2.80E+06
University of Wisconsin - Milwaukee,WI,897,113,12.6,844,1.90E+06
University of Wisconsin - Oshkosh,WI,255,19,7.45,220,537753
University of Wisconsin - Parkside,WI,166,42,25.3,238,437243
University of Wisconsin - Platteville,WI,286,26,9.09,155,366928
University of Wisconsin - River Falls,WI,396,27,6.82,323,510393
University of Wisconsin - Stevens Point,WI,971,55,5.66,414,873281
University of Wisconsin - Stout,WI,425,25,5.88,198,538806
University of Wisconsin - Superior,WI,139,17,12.23,139,161824
University of Wisconsin - Whitewater,WI,731,51,6.98,506,879044
